"variable","block"
"UniRef90_B0JQ87","mG"
"UniRef90_I4HYC0","mG"
"UniRef90_B0JS84","mG"
"UniRef90_I4GBK5","mG"
"UniRef90_L7EB97","mG"
"UniRef90_I4FDA5","mG"
"UniRef90_I4ILC6","mG"
"UniRef90_I4F7I5","mG"
"UniRef90_I4GJ44","mG"
"UniRef90_B0JGP4","mG"
"UniRef90_I4FCN0","mG"
"UniRef90_B0JKT2","mG"
"UniRef90_I4HEE0","mG"
"UniRef90_I4FIB3","mG"
"UniRef90_I4FD50","mG"
"UniRef90_I4G434","mG"
"UniRef90_I4FBI6","mG"
"UniRef90_B0JGX0","mG"
"UniRef90_I4FEK9","mG"
"UniRef90_I4F9G0","mG"
"UniRef90_L7E3E6","mG"
"UniRef90_I4G658","mG"
"UniRef90_S3JW49","mG"
"UniRef90_S3IZB3","mG"
"UniRef90_S3K9X7","mG"
"UniRef90_I4FV22","mG"
"UniRef90_I4HYB1","mG"
"UniRef90_I4FAY1","mG"
"UniRef90_I4G6D7","mG"
"UniRef90_I4GMN3","mG"
"UniRef90_I4FDN9","mG"
"UniRef90_B0JM70","mG"
"UniRef90_S3J7R8","mG"
"UniRef90_B0JSG9","mG"
"UniRef90_I4FE86","mG"
"UniRef90_I4FGL4","mG"
"UniRef90_A8YDD7","mG"
"UniRef90_I4FGX2","mG"
"UniRef90_S3J5U5","mG"
"UniRef90_S3J9J7","mG"
"UniRef90_B0JQM8","mG"
"UniRef90_I4FDS9","mG"
"UniRef90_I4FH58","mG"
"UniRef90_S3J220","mG"
"UniRef90_I4F605","mG"
"UniRef90_I4FCM4","mG"
"UniRef90_S3IWW6","mG"
"UniRef90_L8P0C1","mG"
"UniRef90_I4I325","mG"
"UniRef90_I4H2Q6","mG"
"UniRef90_I4ISD0","mG"
"UniRef90_I4GPH0","mG"
"UniRef90_S3K784","mG"
"UniRef90_L8NYJ3","mG"
"UniRef90_I4IS08","mG"
"UniRef90_B0JSI3","mG"
"UniRef90_S3J2A0","mG"
"UniRef90_I4I0N1","mG"
"UniRef90_I4FIL5","mG"
"UniRef90_I4HAZ9","mG"
"UniRef90_I4FD83","mG"
"UniRef90_B0JUY7","mG"
"UniRef90_S3JCQ3","mG"
"UniRef90_I4FBG6","mG"
"UniRef90_I4I5W8","mG"
"UniRef90_I4IAH0","mG"
"UniRef90_I4FHZ9","mG"
"UniRef90_B0JG01","mG"
"UniRef90_I4FAB6","mG"
"UniRef90_I4HJE3","mG"
"UniRef90_L8NPB3","mG"
"UniRef90_I4F677","mG"
"UniRef90_I4I1X0","mG"
"UniRef90_I4ISN1","mG"
"UniRef90_I4F5U6","mG"
"UniRef90_L8MYL3","mG"
"UniRef90_B0JQR3","mG"
"UniRef90_S3K9M4","mG"
"UniRef90_I4G7H1","mG"
"UniRef90_L7E519","mG"
"UniRef90_L8NZA3","mG"
"UniRef90_B0JJV1","mG"
"UniRef90_L7E8D1","mG"
"UniRef90_I4HLJ2","mG"
"UniRef90_S3ISN4","mG"
"UniRef90_I4FD88","mG"
"UniRef90_S3K0K1","mG"
"UniRef90_I4HUC5","mG"
"UniRef90_L7EE04","mG"
"UniRef90_L7ECW4","mG"
"UniRef90_B0JKF1","mG"
"UniRef90_I4GTZ6","mG"
"UniRef90_I4F9D0","mG"
"UniRef90_I4IPL5","mG"
"UniRef90_I4FGC6","mG"
"UniRef90_I4FG21","mG"
"UniRef90_S3K0J5","mG"
"UniRef90_L7E5P7","mG"
"UniRef90_I4IR19","mG"
"UniRef90_I4F5Q7","mG"
"UniRef90_I4I2V6","mG"
"UniRef90_L8NJK3","mG"
"UniRef90_B0JXJ8","mG"
"UniRef90_I4F6M0","mG"
"UniRef90_I4FE46","mG"
"UniRef90_L8NM06","mG"
"UniRef90_L7E2S6","mG"
"UniRef90_S3JDQ6","mG"
"UniRef90_L7E5F4","mG"
"UniRef90_B0JTD1","mG"
"UniRef90_I4F9N9","mG"
"UniRef90_I4FCM3","mG"
"UniRef90_I4GMN4","mG"
"UniRef90_B0JWH3","mG"
"UniRef90_L8NSX7","mG"
"UniRef90_I4FE81","mG"
"UniRef90_I4FEK0","mG"
"UniRef90_I4HP90","mG"
"UniRef90_I4F6P2","mG"
"UniRef90_I4I876","mG"
"UniRef90_I4HJ91","mG"
"UniRef90_L7E9K1","mG"
"UniRef90_B0JT40","mG"
"UniRef90_I4I2F5","mG"
"UniRef90_I4GJB3","mG"
"UniRef90_I4FAH2","mG"
"UniRef90_L7DZ15","mG"
"UniRef90_I4GVN8","mG"
"UniRef90_I4IAM1","mG"
"UniRef90_I4GAA0","mG"
"UniRef90_I4HHK2","mG"
"UniRef90_I4HFJ5","mG"
"UniRef90_I4IVI0","mG"
"UniRef90_L7E5P3","mG"
"UniRef90_B0JK90","mG"
"UniRef90_S3J9U8","mG"
"UniRef90_I4HQV3","mG"
"UniRef90_B3DFA5","mG"
"UniRef90_I4H9E6","mG"
"UniRef90_I4FJ28","mG"
"UniRef90_S3JVU9","mG"
"UniRef90_B0JMC2","mG"
"UniRef90_I4FEH0","mG"
"UniRef90_I4F9X1","mG"
"UniRef90_B0JRH8","mG"
"UniRef90_I4F713","mG"
"UniRef90_L7E3Q6","mG"
"UniRef90_I4FAR3","mG"
"UniRef90_J9DUZ7","mG"
"UniRef90_S3JX24","mG"
"UniRef90_L7E183","mG"
"UniRef90_K7WCP1","mG"
"UniRef90_I4GF99","mG"
"UniRef90_L8NY82","mG"
"UniRef90_I4FC29","mG"
"UniRef90_I4FD84","mG"
"UniRef90_K9XMQ0","mG"
"UniRef90_L7E5G9","mG"
"UniRef90_L7E6N1","mG"
"UniRef90_I4GFN3","mG"
"UniRef90_L8P0B6","mG"
"UniRef90_S3JV22","mG"
"UniRef90_I4H139","mG"
"UniRef90_I4FF51","mG"
"UniRef90_E0UH01","mG"
"UniRef90_I4HHG8","mG"
"UniRef90_I4F8T9","mG"
"UniRef90_L8NXF1","mG"
"UniRef90_L7E144","mG"
"UniRef90_I4H078","mG"
"UniRef90_I4FVG0","mG"
"UniRef90_I4FEB8","mG"
"UniRef90_I4GIL8","mG"
"UniRef90_I4FRU2","mG"
"UniRef90_L8P227","mG"
"UniRef90_I4FC44","mG"
"UniRef90_I4I020","mG"
"UniRef90_I4IH31","mG"
"UniRef90_I4G6T5","mG"
"UniRef90_I4FBI7","mG"
"UniRef90_B0JWX2","mG"
"UniRef90_I4GUA6","mG"
"UniRef90_I4IST6","mG"
"UniRef90_I4GIM4","mG"
"UniRef90_I4HKD5","mG"
"UniRef90_L7E4D3","mG"
"UniRef90_I4GF88","mG"
"UniRef90_I4FBQ7","mG"
"UniRef90_I4FGR4","mG"
"UniRef90_I4GLX3","mG"
"UniRef90_I4F8R6","mG"
"UniRef90_I4INI4","mG"
"UniRef90_I4ICB7","mG"
"UniRef90_B0JHP9","mG"
"UniRef90_S3JGX8","mG"
"UniRef90_I4F8T7","mG"
"UniRef90_I4FF13","mG"
"UniRef90_I4FFT8","mG"
"UniRef90_B0JMQ5","mG"
"UniRef90_I4IVX4","mG"
"UniRef90_I4G1P4","mG"
"UniRef90_L8NVZ4","mG"
"UniRef90_I4IDP7","mG"
"UniRef90_L7E2C5","mG"
"UniRef90_I4G2A3","mG"
"UniRef90_I4G4C1","mG"
"UniRef90_I4IXV9","mG"
"UniRef90_I4IMW4","mG"
"UniRef90_I4FM00","mG"
"UniRef90_I4FCZ1","mG"
"UniRef90_L8NW34","mG"
"UniRef90_I4GLN2","mG"
"UniRef90_S3JHR9","mG"
"UniRef90_I4F960","mG"
"UniRef90_I4FAU3","mG"
"UniRef90_S3KBA6","mG"
"UniRef90_I4FEH8","mG"
"UniRef90_I4F6G7","mG"
"UniRef90_I4FFH2","mG"
"UniRef90_I4FJ15","mG"
"UniRef90_S3J7C2","mG"
"UniRef90_S3JPB9","mG"
"UniRef90_I4FCC3","mG"
"UniRef90_I4FH57","mG"
"UniRef90_I4FF49","mG"
"UniRef90_I4FDC3","mG"
"UniRef90_I4ISN2","mG"
"UniRef90_I4HSX6","mG"
"UniRef90_I4F743","mG"
"UniRef90_I4IST7","mG"
"UniRef90_I4FG51","mG"
"UniRef90_I4HFV9","mG"
"UniRef90_I4G4G1","mG"
"UniRef90_I4FZV9","mG"
"UniRef90_I4F7Z7","mG"
"UniRef90_I4FC05","mG"
"UniRef90_B0JKW8","mG"
"UniRef90_I4GYT5","mG"
"UniRef90_L7DZK1","mG"
"UniRef90_I4IKW3","mG"
"UniRef90_B0JPK9","mG"
"UniRef90_S3JHB8","mG"
"UniRef90_I4GGR9","mG"
"UniRef90_L7E893","mG"
"UniRef90_I4FET2","mG"
"UniRef90_L8NRQ0","mG"
"UniRef90_I4F7D5","mG"
"UniRef90_L8NRW9","mG"
"UniRef90_B0JMH2","mG"
"UniRef90_I4F8Q5","mG"
"UniRef90_I4HPG7","mG"
"UniRef90_J9H4V0","mG"
"UniRef90_I4IJ73","mG"
"UniRef90_L7E9M6","mG"
"UniRef90_B0JTH2","mG"
"UniRef90_L7EBY1","mG"
"UniRef90_I4I5M0","mG"
"UniRef90_L7E6R9","mG"
"UniRef90_I4ILF8","mG"
"UniRef90_L7E633","mG"
"UniRef90_L8NSP1","mG"
"UniRef90_B0JNB7","mG"
"UniRef90_I4IEF4","mG"
"UniRef90_I4I8Y2","mG"
"UniRef90_I4FJF7","mG"
"UniRef90_I4HVK6","mG"
"UniRef90_I4FZQ5","mG"
"UniRef90_I4F881","mG"
"UniRef90_L7E731","mG"
"UniRef90_L8NXT2","mG"
"UniRef90_I4I4L5","mG"
"UniRef90_L8NTR2","mG"
"UniRef90_L8P1U4","mG"
"UniRef90_S3J5C8","mG"
"UniRef90_L7EAV6","mG"
"UniRef90_I4GTG3","mG"
"UniRef90_I4ITM1","mG"
"UniRef90_I4G018","mG"
"UniRef90_I4FIS0","mG"
"UniRef90_L7E6R2","mG"
"UniRef90_I4I5P2","mG"
"UniRef90_I4IWC0","mG"
"UniRef90_I4F9Y6","mG"
"UniRef90_L8NJU0","mG"
"UniRef90_L7EE91","mG"
"UniRef90_B0JVG9","mG"
"UniRef90_B0JQW1","mG"
"UniRef90_S3J9G3","mG"
"UniRef90_L7EAZ9","mG"
"UniRef90_B7K208","mG"
"UniRef90_S3JGJ3","mG"
"UniRef90_I4GC90","mG"
"UniRef90_B0JP19","mG"
"UniRef90_I4F9G6","mG"
"UniRef90_A4G1T3","mG"
"UniRef90_L8P0M4","mG"
"UniRef90_I4GG74","mG"
"UniRef90_I4I2T5","mG"
"UniRef90_B0JUZ8","mG"
"UniRef90_L7ED16","mG"
"UniRef90_I4FIA2","mG"
"UniRef90_I4FPR4","mG"
"UniRef90_I4G3A8","mG"
"UniRef90_L7E0L7","mG"
"UniRef90_B0JRP8","mG"
"UniRef90_I4F975","mG"
"UniRef90_L8NT92","mG"
"UniRef90_S3JGM8","mG"
"UniRef90_I4FAH1","mG"
"UniRef90_B0JNU2","mG"
"UniRef90_L7E7G8","mG"
"UniRef90_S3IXB2","mG"
"UniRef90_K7W130","mG"
"UniRef90_I4GPK1","mG"
"UniRef90_B0JPL0","mG"
"UniRef90_S3J7Z7","mG"
"UniRef90_I4GSH3","mG"
"UniRef90_B0JUT7","mG"
"UniRef90_I4FAS0","mG"
"UniRef90_S3K3J2","mG"
"UniRef90_I4G1C5","mG"
"UniRef90_I4F8E6","mG"
"UniRef90_I4IP59","mG"
"UniRef90_I4GXB0","mG"
"UniRef90_L7EAR8","mG"
"UniRef90_L8NP59","mG"
"UniRef90_B0JK91","mG"
"UniRef90_S3JV58","mG"
"UniRef90_L7E716","mG"
"UniRef90_L7DZC2","mG"
"UniRef90_I4FHS4","mG"
"UniRef90_I4FG52","mG"
"UniRef90_S3KKB4","mG"
"UniRef90_S3J291","mG"
"UniRef90_I4HVT6","mG"
"UniRef90_L7EC52","mG"
"UniRef90_I4GYN9","mG"
"UniRef90_I4GYI3","mG"
"UniRef90_L8NYN5","mG"
"UniRef90_I4HPW4","mG"
"UniRef90_L7E6H4","mG"
"UniRef90_S3IWG8","mG"
"UniRef90_I4HCF0","mG"
"UniRef90_B0JVY2","mG"
"UniRef90_S3J886","mG"
"UniRef90_B0JMK8","mG"
"UniRef90_I4GTK7","mG"
"UniRef90_I4INJ8","mG"
"UniRef90_L8NRF1","mG"
"UniRef90_L8NM82","mG"
"UniRef90_I4H2T0","mG"
"UniRef90_L8NTV8","mG"
"UniRef90_B6IRS4","mG"
"UniRef90_I4F852","mG"
"UniRef90_I4IS37","mG"
"UniRef90_B0JMT1","mG"
"UniRef90_I4FXI7","mG"
"UniRef90_L8NQ24","mG"
"UniRef90_L8NSE7","mG"
"UniRef90_S3KJP9","mG"
"UniRef90_L7E151","mG"
"UniRef90_I4HTQ8","mG"
"UniRef90_L8NZT7","mG"
"UniRef90_L7ECZ8","mG"
"UniRef90_I4F9N8","mG"
"UniRef90_B0JHC4","mG"
"UniRef90_B0JRM7","mG"
"UniRef90_B0JLL1","mG"
"UniRef90_I4HM02","mG"
"UniRef90_B0JGF7","mG"
"UniRef90_I4I3D8","mG"
"UniRef90_I4G1V7","mG"
"UniRef90_I4FGC7","mG"
"UniRef90_I4INF4","mG"
"UniRef90_I4IF47","mG"
"UniRef90_L8NMV4","mG"
"UniRef90_L8NNV6","mG"
"UniRef90_I4FB76","mG"
"UniRef90_I4FZ08","mG"
"UniRef90_I4F967","mG"
"UniRef90_L8P137","mG"
"UniRef90_I4F6P1","mG"
"UniRef90_I4FIF3","mG"
"UniRef90_I4HV09","mG"
"UniRef90_I4FIG3","mG"
"UniRef90_L7E2P9","mG"
"UniRef90_L8NMR6","mG"
"UniRef90_I4F9N1","mG"
"UniRef90_L8NRS1","mG"
"UniRef90_I4HGY8","mG"
"UniRef90_S3JIN8","mG"
"UniRef90_B0JNC6","mG"
"UniRef90_L8NXW3","mG"
"UniRef90_I4I3J2","mG"
"UniRef90_B0JFZ5","mG"
"UniRef90_I4IGW5","mG"
"UniRef90_I4FD10","mG"
"UniRef90_I4F6C1","mG"
"UniRef90_L7E869","mG"
"UniRef90_I4HPN8","mG"
"UniRef90_I4I5A5","mG"
"UniRef90_S3J9J3","mG"
"UniRef90_I4FGR0","mG"
"UniRef90_L8NXS3","mG"
"UniRef90_I4FJ44","mG"
"UniRef90_I4FCJ8","mG"
"UniRef90_I4GDN7","mG"
"UniRef90_I4F7H5","mG"
"UniRef90_L7E9C0","mG"
"UniRef90_I4FBX0","mG"
"UniRef90_I4IKV9","mG"
"UniRef90_I4FEX2","mG"
"UniRef90_B0JX14","mG"
"UniRef90_I4FKI7","mG"
"UniRef90_B0JSD7","mG"
"UniRef90_I4F6N9","mG"
"UniRef90_S3JG53","mG"
"UniRef90_I4HFL5","mG"
"UniRef90_I4HHJ6","mG"
"UniRef90_L8NRN3","mG"
"UniRef90_I4FDZ3","mG"
"UniRef90_S3JGE3","mG"
"UniRef90_B0JWI1","mG"
"UniRef90_L8NR80","mG"
"UniRef90_L8NS69","mG"
"UniRef90_L8NWF3","mG"
"UniRef90_I4IMY4","mG"
"UniRef90_I4F8H8","mG"
"UniRef90_I4FPI2","mG"
"UniRef90_I4ICA3","mG"
"UniRef90_I4I189","mG"
"neg_4109","mM"
"neg_3378","mM"
"neg_5060","mM"
"neg_9509","mM"
"pos_1751","mM"
"pos_4796","mM"
"neg_73","mM"
"pos_11060","mM"
"neg_7719","mM"
"neg_7687","mM"
"pos_9595","mM"
"pos_5758","mM"
"neg_8288","mM"
"neg_9070","mM"
"neg_7789","mM"
"neg_1586","mM"
"neg_6676","mM"
"neg_5249","mM"
"pos_7664","mM"
"pos_11050","mM"
"neg_6240","mM"
"neg_4964","mM"
"pos_2181","mM"
"neg_10159","mM"
"neg_6304","mM"
"pos_5666","mM"
"neg_6037","mM"
"neg_4895","mM"
"pos_5240","mM"
"pos_11042","mM"
"pos_3999","mM"
"pos_3818","mM"
"pos_11738","mM"
"pos_5702","mM"
"pos_10524","mM"
"pos_2521","mM"
"pos_4783","mM"
"neg_8492","mM"
"pos_10010","mM"
"pos_5792","mM"
"neg_1946","mM"
"neg_3519","mM"
"neg_2471","mM"
"neg_3489","mM"
"neg_6293","mM"
"neg_9327","mM"
"neg_6054","mM"
"neg_3438","mM"
"pos_5788","mM"
"neg_6566","mM"
"neg_10127","mM"
"pos_4672","mM"
"pos_6069","mM"
"pos_4797","mM"
"pos_11742","mM"
"neg_1058","mM"
"pos_3246","mM"
"pos_11067","mM"
"pos_8736","mM"
"pos_10702","mM"
"neg_2760","mM"
"neg_6349","mM"
"pos_3171","mM"
"pos_4826","mM"
"neg_8142","mM"
"pos_7126","mM"
"neg_6301","mM"
"neg_6392","mM"
"neg_4404","mM"
"neg_5393","mM"
"pos_5483","mM"
"neg_9348","mM"
"pos_1552","mM"
"pos_4618","mM"
"pos_3953","mM"
"neg_1428","mM"
"neg_6060","mM"
"pos_6358","mM"
"pos_10121","mM"
"neg_6565","mM"
"neg_4966","mM"
"pos_1765","mM"
"pos_9126","mM"
"pos_8218","mM"
"neg_6938","mM"
"pos_5791","mM"
"pos_8369","mM"
"neg_8143","mM"
"neg_6287","mM"
"pos_2250","mM"
"pos_278","mM"
"pos_11571","mM"
"pos_10310","mM"
"pos_4625","mM"
"neg_8557","mM"
"neg_7584","mM"
"pos_5998","mM"
"pos_5424","mM"
"neg_7637","mM"
"neg_7810","mM"
"neg_6356","mM"
"neg_4547","mM"
"neg_4851","mM"
"neg_5255","mM"
"pos_8560","mM"
"neg_3007","mM"
"neg_2353","mM"
"neg_6642","mM"
"neg_305","mM"
"neg_2454","mM"
"neg_6068","mM"
"neg_4024","mM"
"neg_2995","mM"
"neg_2061","mM"
"neg_4548","mM"
"pos_4632","mM"
"pos_9876","mM"
"pos_1690","mM"
"neg_1522","mM"
"pos_2887","mM"
"neg_8125","mM"
"pos_5307","mM"
"pos_7977","mM"
"neg_2465","mM"
"neg_1479","mM"
"pos_10865","mM"
"pos_2096","mM"
"neg_9235","mM"
"pos_5478","mM"
"pos_7115","mM"
"pos_2163","mM"
"neg_10181","mM"
"pos_10897","mM"
"neg_9945","mM"
"pos_4806","mM"
"neg_189","mM"
"pos_11580","mM"
"pos_5760","mM"
"neg_8471","mM"
"neg_8467","mM"
"neg_8437","mM"
"neg_4117","mM"
"pos_5485","mM"
"neg_4690","mM"
"neg_3452","mM"
"neg_6931","mM"
"neg_10381","mM"
"neg_2262","mM"
"neg_8994","mM"
"pos_1876","mM"
"neg_5973","mM"
"neg_3834","mM"
"neg_2339","mM"
"neg_615","mM"
"pos_11480","mM"
"pos_5438","mM"
"neg_8404","mM"
"neg_3398","mM"
"pos_7855","mM"
"neg_1517","mM"
"neg_9211","mM"
"pos_11763","mM"
"neg_4550","mM"
"neg_8210","mM"
"pos_7615","mM"
"neg_1861","mM"
"pos_4227","mM"
"neg_8429","mM"
"neg_8466","mM"
"pos_9076","mM"
"neg_10124","mM"
"neg_6650","mM"
"neg_1940","mM"
"pos_11795","mM"
"neg_8336","mM"
"pos_9957","mM"
"neg_6569","mM"
"neg_1004","mM"
"pos_756","mM"
"pos_1843","mM"
"neg_10140","mM"
"pos_4864","mM"
"neg_4292","mM"
"pos_10485","mM"
"neg_1460","mM"
"neg_6371","mM"
"pos_10226","mM"
"neg_2124","mM"
"pos_11789","mM"
"pos_10737","mM"
"pos_6896","mM"
"neg_3664","mM"
"neg_1258","mM"
"neg_8028","mM"
"pos_10594","mM"
"pos_600","mM"
"pos_10751","mM"
"neg_979","mM"
"neg_5407","mM"
"pos_4834","mM"
"neg_7812","mM"
"pos_11532","mM"
"pos_10680","mM"
"neg_3668","mM"
"neg_9136","mM"
"pos_2766","mM"
"neg_10096","mM"
"pos_5437","mM"
"neg_8995","mM"
"neg_6","mM"
"pos_8114","mM"
"pos_4958","mM"
"pos_10770","mM"
"pos_5479","mM"
"neg_3696","mM"
"pos_4878","mM"
"neg_8414","mM"
"pos_8658","mM"
"neg_6640","mM"
"pos_10994","mM"
"neg_235","mM"
"pos_7522","mM"
"neg_6656","mM"
"neg_8083","mM"
"pos_7980","mM"
"pos_9634","mM"
"neg_3673","mM"
"neg_1062","mM"
"neg_6613","mM"
"pos_1825","mM"
"pos_555","mM"
"pos_8379","mM"
"pos_566","mM"
"neg_6359","mM"
"pos_2389","mM"
"pos_2713","mM"
"pos_1929","mM"
"pos_8584","mM"
"neg_6804","mM"
"neg_3984","mM"
"neg_837","mM"
"pos_5601","mM"
"neg_7917","mM"
"pos_11767","mM"
"neg_8601","mM"
"pos_1606","mM"
"neg_7860","mM"
"neg_3640","mM"
"pos_2330","mM"
"neg_4918","mM"
"neg_5256","mM"
"neg_6662","mM"
"pos_5805","mM"
"neg_8523","mM"
"pos_10742","mM"
"neg_7977","mM"
"neg_9020","mM"
"pos_3205","mM"
"pos_1928","mM"
"neg_6771","mM"
"pos_2132","mM"
"neg_6922","mM"
"pos_7495","mM"
"pos_1802","mM"
"pos_4724","mM"
"pos_10016","mM"
"pos_6268","mM"
"pos_7196","mM"
"pos_8254","mM"
"pos_10838","mM"
"pos_2781","mM"
"pos_8027","mM"
"pos_4061","mM"
"pos_10060","mM"
"neg_2534","mM"
"neg_7862","mM"
"pos_7559","mM"
"pos_1581","mM"
"neg_6509","mM"
"pos_11830","mM"
"pos_10423","mM"
"neg_3134","mM"
"pos_11441","mM"
"pos_11139","mM"
"pos_977","mM"
"pos_10389","mM"
"pos_8610","mM"
"neg_2315","mM"
"neg_1560","mM"
"pos_2467","mM"
"pos_11823","mM"
"pos_8526","mM"
"pos_5941","mM"
"neg_3514","mM"
"neg_8988","mM"
"pos_2180","mM"
"pos_7531","mM"
"neg_10153","mM"
"neg_6628","mM"
"pos_5891","mM"
"pos_2131","mM"
"neg_6865","mM"
"neg_5232","mM"
"pos_10280","mM"
"neg_3918","mM"
"neg_9665","mM"
"pos_11345","mM"
"neg_9089","mM"
"pos_11448","mM"
"pos_1649","mM"
"pos_10677","mM"
"pos_10676","mM"
"neg_2553","mM"
"pos_2282","mM"
"pos_8637","mM"
"neg_5956","mM"
"neg_7256","mM"
"neg_9950","mM"
"neg_3540","mM"
"neg_944","mM"
"neg_9065","mM"
"pos_10626","mM"
"pos_4711","mM"
"neg_8875","mM"
"pos_11966","mM"
"pos_9845","mM"
"pos_8529","mM"
"pos_10877","mM"
"pos_9973","mM"
"neg_4856","mM"
"pos_8144","mM"
"pos_9932","mM"
"neg_2645","mM"
"pos_7171","mM"
"pos_8681","mM"
"pos_11246","mM"
"pos_7540","mM"
"pos_2882","mM"
"pos_6353","mM"
"neg_3985","mM"
"pos_4581","mM"
"pos_8646","mM"
"neg_6570","mM"
"neg_9078","mM"
"neg_10230","mM"
"neg_7094","mM"
"pos_4089","mM"
"pos_1756","mM"
"pos_10239","mM"
"neg_6682","mM"
"pos_3667","mM"
"pos_4542","mM"
"pos_1749","mM"
"pos_5222","mM"
"pos_7825","mM"
"pos_10728","mM"
"pos_10807","mM"
"neg_4213","mM"
"neg_10041","mM"
"neg_2743","mM"
"neg_5278","mM"
"pos_8740","mM"
"pos_403","mM"
"pos_3816","mM"
"neg_9651","mM"
"neg_3140","mM"
"neg_6366","mM"
"pos_4438","mM"
"pos_43","mM"
"neg_8057","mM"
"neg_3815","mM"
"pos_1297","mM"
"neg_3502","mM"
"pos_4266","mM"
"neg_6906","mM"
"neg_4769","mM"
"neg_9442","mM"
"pos_10964","mM"
"pos_7903","mM"
"pos_920","mM"
"neg_4120","mM"
"neg_2473","mM"
"pos_1766","mM"
"neg_9061","mM"
"neg_9517","mM"
"neg_7367","mM"
"pos_538","mM"
"pos_7393","mM"
"neg_8666","mM"
"neg_8998","mM"
"neg_254","mM"
"neg_4130","mM"
"neg_8044","mM"
"pos_4964","mM"
"neg_1421","mM"
"neg_8089","mM"
"neg_8342","mM"
"neg_8936","mM"
"pos_1864","mM"
"neg_9438","mM"
"neg_9871","mM"
"neg_9130","mM"
"neg_8892","mM"
"neg_8378","mM"
"pos_7207","mM"
"pos_2948","mM"
"pos_5100","mM"
"pos_7112","mM"
"neg_9953","mM"
"neg_5058","mM"
"neg_1850","mM"
"neg_2474","mM"
"neg_10081","mM"
"neg_1455","mM"
"neg_822","mM"
"neg_9440","mM"
"pos_4429","mM"
"pos_3060","mM"
"pos_5064","mM"
"neg_9870","mM"
"pos_4751","mM"
"pos_9121","mM"
"pos_2276","mM"
"neg_8968","mM"
"neg_3031","mM"
"pos_1681","mM"
"pos_11407","mM"
"pos_10706","mM"
"pos_8485","mM"
"neg_9102","mM"
"neg_9344","mM"
"pos_7420","mM"
"neg_5934","mM"
"neg_8140","mM"
"pos_2239","mM"
"neg_4841","mM"
"pos_9415","mM"
"pos_10359","mM"
"pos_8758","mM"
"neg_6459","mM"
"pos_10839","mM"
"neg_1472","mM"
"pos_10038","mM"
"pos_7668","mM"
"neg_6528","mM"
"pos_288","mM"
"neg_8764","mM"
"neg_9449","mM"
"pos_4326","mM"
"neg_9967","mM"
"pos_1225","mM"
"neg_4987","mM"
"pos_7401","mM"
"neg_9891","mM"
"pos_7545","mM"
"pos_4267","mM"
"neg_6577","mM"
"pos_2957","mM"
"pos_5041","mM"
"pos_7218","mM"
"neg_188","mM"
"neg_6988","mM"
"neg_2415","mM"
"pos_4379","mM"
"neg_2477","mM"
"pos_5545","mM"
"pos_11502","mM"
"neg_3795","mM"
"neg_8290","mM"
"neg_1514","mM"
"neg_294","mM"
"neg_1921","mM"
"pos_4217","mM"
"neg_6883","mM"
"pos_1704","mM"
"neg_9680","mM"
"pos_11801","mM"
"pos_10287","mM"
"neg_3559","mM"
"neg_6200","mM"
"neg_763","mM"
"neg_2653","mM"
"pos_1347","mM"
"neg_2033","mM"
"neg_8171","mM"
"pos_10033","mM"
"neg_4859","mM"
"neg_9703","mM"
"neg_8863","mM"
"pos_8680","mM"
"pos_9216","mM"
"pos_10240","mM"
"neg_9975","mM"
"neg_4890","mM"
"pos_10755","mM"
"neg_2686","mM"
"pos_2702","mM"
"neg_1866","mM"
"pos_10435","mM"
"pos_3312","mM"
"pos_4793","mM"
"pos_8330","mM"
"pos_3886","mM"
"neg_9451","mM"
"pos_3301","mM"
"pos_1059","mM"
"pos_8570","mM"
"pos_6877","mM"
"pos_5992","mM"
"neg_2584","mM"
"pos_4131","mM"
"neg_6666","mM"
"pos_7383","mM"
"pos_7599","mM"
"neg_5469","mM"
"pos_8544","mM"
"pos_4907","mM"
"pos_2188","mM"
"pos_1915","mM"
"pos_8820","mM"
"pos_2155","mM"
"pos_2952","mM"
"neg_3464","mM"
"neg_5161","mM"
"neg_2023","mM"
"neg_4061","mM"
"pos_1038","mM"
"pos_8608","mM"
"neg_4081","mM"
"neg_9856","mM"
"neg_4775","mM"
"pos_1744","mM"
"pos_5039","mM"
"neg_2576","mM"
"neg_1589","mM"
"neg_1443","mM"
"pos_4968","mM"
"pos_11762","mM"
"neg_2582","mM"
"neg_4903","mM"
"neg_2435","mM"
"pos_7192","mM"
"neg_6941","mM"
"neg_6596","mM"
"neg_8438","mM"
"neg_8624","mM"
"pos_11549","mM"
"neg_6593","mM"
"neg_6616","mM"
"pos_1512","mM"
"neg_5084","mM"
"pos_4443","mM"
"neg_8593","mM"
"pos_8136","mM"
"neg_4892","mM"
"pos_5694","mM"
"neg_6660","mM"
"pos_8239","mM"
"pos_7979","mM"
"pos_11534","mM"
"neg_9063","mM"
"neg_6900","mM"
"pos_5701","mM"
"pos_698","mM"
"pos_5593","mM"
"pos_6983","mM"
"pos_2729","mM"
"neg_10179","mM"
"pos_8761","mM"
"neg_3233","mM"
"pos_11505","mM"
"pos_1629","mM"
"pos_6027","mM"
"pos_10361","mM"
"neg_2550","mM"
"neg_1211","mM"
"pos_3059","mM"
"neg_5033","mM"
