"variable","block"
"UniRef90_I4IEW3","mG"
"UniRef90_I4HZJ5","mG"
"UniRef90_I4FUC1","mG"
"UniRef90_I4FY34","mG"
"UniRef90_S3K3B1","mG"
"UniRef90_I4F6C5","mG"
"UniRef90_I4F7F4","mG"
"UniRef90_I4HS43","mG"
"UniRef90_I4FDZ4","mG"
"UniRef90_I4FYR7","mG"
"UniRef90_I4GYR9","mG"
"UniRef90_I4FGW0","mG"
"UniRef90_I4F7R0","mG"
"UniRef90_I4IXH4","mG"
"UniRef90_S3J7V7","mG"
"UniRef90_L8NIB4","mG"
"UniRef90_I4HRH3","mG"
"UniRef90_I4GLG1","mG"
"UniRef90_L8NS71","mG"
"UniRef90_I4I304","mG"
"UniRef90_I4F6Y4","mG"
"UniRef90_I4F6D1","mG"
"UniRef90_I4FCF9","mG"
"UniRef90_I4HSX0","mG"
"UniRef90_I4F7S2","mG"
"UniRef90_I4HKC7","mG"
"UniRef90_D2YVM8","mG"
"UniRef90_I4FGW4","mG"
"UniRef90_I4F8J8","mG"
"UniRef90_L8NYT8","mG"
"UniRef90_I4GUY6","mG"
"UniRef90_I4FBK2","mG"
"UniRef90_I4FCB6","mG"
"UniRef90_I4FYS5","mG"
"UniRef90_I4HZN9","mG"
"UniRef90_I4HHG2","mG"
"UniRef90_I4HZP1","mG"
"UniRef90_I4F6Q2","mG"
"UniRef90_I4GM76","mG"
"UniRef90_S3J9L2","mG"
"UniRef90_I4F7R7","mG"
"UniRef90_I4FEI2","mG"
"UniRef90_I4HET1","mG"
"UniRef90_I4FHH4","mG"
"UniRef90_I4FHG9","mG"
"UniRef90_I4FG06","mG"
"UniRef90_I4H6X2","mG"
"UniRef90_I4F5T1","mG"
"UniRef90_I4I6N8","mG"
"UniRef90_S3JAU4","mG"
"UniRef90_S3JQ90","mG"
"UniRef90_I4FYS8","mG"
"UniRef90_I4F6D4","mG"
"UniRef90_S3J4G7","mG"
"UniRef90_I4FHX4","mG"
"UniRef90_I4FCG1","mG"
"UniRef90_I4FDQ3","mG"
"UniRef90_I4FCP5","mG"
"UniRef90_I4F8U4","mG"
"UniRef90_I4FGV7","mG"
"UniRef90_L7E2E7","mG"
"UniRef90_I4FEB6","mG"
"UniRef90_L8NNI5","mG"
"UniRef90_I4GT67","mG"
"UniRef90_I4FAZ9","mG"
"UniRef90_I4F5S6","mG"
"UniRef90_I4HEM3","mG"
"UniRef90_I4FHI4","mG"
"UniRef90_I4H9W7","mG"
"UniRef90_I4FHI3","mG"
"UniRef90_I4HRV5","mG"
"UniRef90_I4HS26","mG"
"UniRef90_I4IUR1","mG"
"UniRef90_I4HRJ0","mG"
"UniRef90_I4FDT1","mG"
"UniRef90_S3KD97","mG"
"UniRef90_I4F731","mG"
"UniRef90_I4G7Y6","mG"
"UniRef90_I4FHI8","mG"
"UniRef90_I4FHI0","mG"
"UniRef90_L8NNZ0","mG"
"UniRef90_I4F8P5","mG"
"UniRef90_I4FBJ7","mG"
"UniRef90_I4F7R8","mG"
"UniRef90_I4FFX8","mG"
"UniRef90_I4FGW2","mG"
"UniRef90_I4G7T4","mG"
"UniRef90_I4F8H5","mG"
"UniRef90_I4F7P8","mG"
"UniRef90_I4IJT8","mG"
"UniRef90_I4F6H6","mG"
"UniRef90_S3IZI4","mG"
"UniRef90_L7EBE1","mG"
"UniRef90_I4HC16","mG"
"UniRef90_I4FAK3","mG"
"UniRef90_B0JVY6","mG"
"UniRef90_I4G2B7","mG"
"UniRef90_I4FCJ0","mG"
"UniRef90_B0JQY3","mG"
"UniRef90_I4GU05","mG"
"UniRef90_I4H906","mG"
"UniRef90_I4G3A9","mG"
"UniRef90_I4F6Q7","mG"
"UniRef90_B0JWQ9","mG"
"UniRef90_I4HM87","mG"
"UniRef90_I4FWV1","mG"
"UniRef90_I4FHH3","mG"
"UniRef90_I4FE57","mG"
"UniRef90_B0JJT5","mG"
"UniRef90_I4FCR2","mG"
"UniRef90_I4FHH7","mG"
