geneID	Acir.mT19_11-3-1-1	Acir.mT19_11-3-1-2	Acir.mT19_11-3-2-1	Acir.mT19_11-3-2-2	Acir.mT19_11-3-3-1	Acir.mT19_11-3-3-2	Acir.mT19_12-4-1-1	Acir.mT19_12-4-1-2	Acir.mT19_12-4-2-1	Acir.mT19_12-4-2-2	Acir.mT19_12-4-3-1	Acir.mT19_12-4-3-2	Acir.mT19_6-15-1-1	Acir.mT19_6-15-1-2	Acir.mT19_6-15-2-1	Acir.mT19_6-15-2-2	Acir.mT19_6-15-3-1	Acir.mT19_6-15-3-2	Acir.mT19_7-23-1-1	Acir.mT19_7-23-1-2	Acir.mT19_7-23-2-1	Acir.mT19_7-23-2-2	Acir.mT19_7-23-3-1	Acir.mT19_7-23-3-2	Acir.mT19_9-10-1-1	Acir.mT19_9-10-1-2	Acir.mT19_9-10-2-1	Acir.mT19_9-10-2-2	Acir.mT19_9-10-3-1	Acir.mT19_9-10-3-2	Acir.mT19_9-29-1-1	Acir.mT19_9-29-1-2	Acir.mT19_9-29-2-1	Acir.mT19_9-29-2-2	Acir.mT19_9-29-3-1	Acir.mT19_9-29-3-2
ACIR310F_RS0116650_ACIR310F_RS0116650	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0104445_gcvH	1.00	0.00	0.00	0.00	1.00	4.00	0.00	0.00	9.00	8.00	48.00	17.00	0.00	0.00	0.00	0.00	0.00	9.00	0.00	0.00	7.00	9.00	2.00	0.00	3.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0105190_murQ	0.00	0.00	0.00	3.00	4.00	7.00	0.00	0.00	22.00	28.00	80.00	47.00	0.00	0.00	0.00	0.00	0.00	4.00	5.00	0.00	50.00	46.00	4.00	5.00	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0102925_ACIR310F_RS0102925	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	10.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0119445_ACIR310F_RS0119445	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0115960_ACIR310F_RS0115960	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	9.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0102845_ACIR310F_RS0102845	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS26440_ACIR310F_RS26440	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0117225_ACIR310F_RS0117225	1.00	0.00	0.00	0.00	39.00	35.00	3.00	0.00	77.00	66.00	188.00	199.00	1.00	0.00	0.00	0.00	0.00	36.00	3.00	0.00	144.00	122.00	13.00	6.00	3.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0113795_ACIR310F_RS0113795	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	1.00	3.00	4.00	5.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	7.00	7.00	0.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS26710_ACIR310F_RS26710	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0116150_ACIR310F_RS0116150	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS22010_rlmB	0.00	0.00	0.00	0.00	15.00	25.00	0.00	0.00	63.00	25.00	128.00	104.00	0.00	0.00	0.00	0.00	0.00	11.00	0.00	0.00	11.00	43.00	0.00	0.00	14.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0111260_ACIR310F_RS0111260	0.00	0.00	1.00	0.00	0.00	10.00	0.00	0.00	6.00	0.00	3.00	11.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	36.00	11.00	1.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0106910_ACIR310F_RS0106910	0.00	0.00	0.00	0.00	0.00	13.00	0.00	0.00	2.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	25.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0109125_ACIR310F_RS0109125	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0112685_ACIR310F_RS0112685	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	4.00	4.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	18.00	8.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0112480_ACIR310F_RS0112480	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	5.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS26890_ACIR310F_RS26890	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0120175_ACIR310F_RS0120175	0.00	0.00	12.00	1.00	11.00	32.00	0.00	0.00	21.00	15.00	41.00	44.00	3.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	56.00	43.00	8.00	2.00	4.00	8.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0117610_ACIR310F_RS0117610	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0111060_def	0.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	8.00	7.00	36.00	55.00	0.00	0.00	0.00	0.00	0.00	11.00	2.00	0.00	28.00	44.00	4.00	0.00	10.00	1.00	1.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0112925_ACIR310F_RS0112925	0.00	0.00	0.00	0.00	2.00	7.00	0.00	0.00	0.00	2.00	25.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	2.00	2.00	3.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0118935_dprA	0.00	0.00	0.00	0.00	1.00	3.00	0.00	0.00	5.00	4.00	17.00	17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	10.00	2.00	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0109110_hypE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0114030_ACIR310F_RS0114030	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0110745_ACIR310F_RS0110745	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	3.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0101645_ACIR310F_RS0101645	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0103825_ACIR310F_RS0103825	0.00	0.00	0.00	12.00	16.00	28.00	0.00	0.00	22.00	18.00	61.00	55.00	2.00	0.00	0.00	0.00	0.00	52.00	0.00	15.00	95.00	60.00	19.00	5.00	1.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0113960_ACIR310F_RS0113960	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0120040_ACIR310F_RS0120040	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	3.00	6.00	25.00	18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	10.00	6.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0102200_ACIR310F_RS0102200	0.00	0.00	0.00	0.00	1.00	14.00	0.00	0.00	2.00	2.00	19.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	3.00	6.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0100690_ACIR310F_RS0100690	0.00	0.00	6.00	5.00	24.00	67.00	2.00	0.00	45.00	42.00	131.00	131.00	1.00	0.00	0.00	0.00	0.00	47.00	0.00	0.00	93.00	107.00	19.00	6.00	7.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0110230_tsaD	0.00	0.00	0.00	0.00	3.00	3.00	0.00	0.00	3.00	3.00	4.00	14.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.00	53.00	4.00	1.00	2.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
