taxon_name	mG19_06-15-1	mG19_06-15-2	mG19_06-15-3	mG19_07-23-1	mG19_07-23-2	mG19_07-23-3	mG19_09-10-1	mG19_09-10-2	mG19_09-10-3	mG19_09-29-1	mG19_09-29-2	mG19_09-29-3	mG19_11-3-1	mG19_11-3-2	mG19_11-3-3	mG19_12-4-1	mG19_12-4-2	mG19_12-4-3
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;	0	0	0	0	0	0	0	0.000531	0	0	0	0	0	0.0003165	0.000531	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;	0	0.000278	0.000139	0.00038	0.00038	0.00081	0.000531	0.000886	0.000354	0.000304	0.00043	0	0	0.0005185	0.000633	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;	0.000835	0.000759	0.000797	0.001341	0.002479	0.001619	0.001746	0.001999	0.000734	0.001088	0.000886	0.000455	0.000533	0.0004185	0.001037	0.0005945	0.000531	0.000658
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;	0	0.00043	0.000215	0.000506	0.000304	0.000354	0.00038	0.00043	0.000278	0.000633	0.000354	0	0	0.0002405	0.000304	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanolacinia;	0	0.000531	0.0002655	0	0	0.00038	0.000481	0.00043	0	0	0	0	0.000381	0.0001905	0.000481	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanomicrobium;	0	0	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus;	0	0	0	0	0	0	0	0.000278	0	0	0	0	0	0.00019	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea;	0.00043	0.000936	0.000683	0.000607	0.00038	0.000455	0.000278	0.000405	0	0	0	0.000278	0	0.000177	0.00038	0.000139	0.000278	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;	0	0.000304	0.000152	0.000278	0.000607	0.000278	0.000582	0.000582	0.000278	0	0.000455	0	0	0	0.000354	0.000215	0.00043	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula;	0	0	0	0	0	0.000278	0	0.000354	0	0	0	0.000278	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum;	0	0.000329	0.0001645	0.000329	0	0.000455	0.000481	0.000708	0.000304	0.00043	0	0	0	0.000658	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Candidatus Methanoperedenaceae;Candidatus Methanoperedens;	0.000278	0.000557	0.0004175	0.000354	0.000835	0.00086	0.001012	0.00086	0.000531	0.000481	0.000531	0.000278	0.000711	0.000836	0.001316	0.000443	0.000506	0.00038
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;	0.000658	0.001088	0.000873	0.001113	0.001063	0.001113	0.001214	0.001012	0.000607	0.000531	0.000607	0.00043	0	0.000215	0.000961	0.0006705	0.000708	0.000633
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanococcoides;	0	0.000304	0.000152	0.00038	0	0.000405	0.000329	0.000582	0	0	0	0	0	0.0001645	0.00043	0.000152	0	0.000304
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;	0	0.00038	0.00019	0	0	0	0.000455	0.000531	0	0	0	0	0	0.0005565	0.000329	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus;	0.000531	0.000835	0.000683	0.001037	0.000784	0.001037	0.001139	0.000936	0.000759	0.000304	0.000708	0.000455	0.000685	0.0003425	0.001113	0.000772	0.000734	0.00081
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanomethylovorans;	0	0	0	0.000304	0.000557	0	0.000329	0.000278	0	0	0	0	0	0	0	0.000215	0	0.00043
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosalsum;	0	0.000278	0.000139	0	0	0	0	0	0	0	0	0	0	0.001556	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;	0.002834	0.002834	0.002834	0.003643	0.002783	0.003593	0.004984	0.004655	0.003289	0.00296	0.003061	0.001948	0.001726	0.000863	0.003112	0.0022265	0.002378	0.002075
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;NA;Candidatus Syntrophoarchaeum;	0	0.000633	0.0003165	0	0	0	0.000278	0.000455	0.000329	0.000481	0	0.00038	0	0	0	0	0	0
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;	0	0	0	0	0	0	0.00043	0.000531	0	0	0	0	0	0.0003415	0	0	0	0
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;	0.000304	0.000582	0.000443	0.00081	0.000835	0.000911	0.001012	0.001113	0.000405	0.000405	0	0.000278	0.000533	0.0002665	0.000683	0.000405	0.000481	0.000329
Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;	0	0	0	0.00038	0.000304	0.001037	0	0	0.000455	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;	0.000278	0.000278	0.000278	0	0	0	0.000304	0.000329	0	0.000354	0	0.000304	0	0	0	0	0	0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Cuniculiplasmataceae;Cuniculiplasma;	0	0	0	0	0	0.000278	0	0	0.000633	0.00043	0.000784	0	0	0.0002025	0	0	0	0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Acidiplasma;	0.001139	0.000557	0.000848	0.000278	0	0	0.000582	0	0.00086	0	0	0	0	0	0.000405	0	0	0
Archaea;Thaumarchaeota;NA;Cenarchaeales;Cenarchaeaceae;Cenarchaeum;	0	0.000278	0.000139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Thaumarchaeota;NA;NA;NA;Candidatus Caldiarchaeum;	0	0	0	0	0	0	0	0.000304	0	0	0	0	0	0.0004555	0	0	0	0
Archaea;Thaumarchaeota;NA;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosoarchaeum;	0	0.000278	0.000139	0	0	0.000278	0	0.000278	0	0	0	0	0	0.000468	0.000911	0.000354	0	0.000708
