geneID	mT19_11-3-1-1	mT19_11-3-1-2	mT19_11-3-2-1	mT19_11-3-2-2	mT19_11-3-3-1	mT19_11-3-3-2	mT19_12-4-1-1	mT19_12-4-1-2	mT19_12-4-2-1	mT19_12-4-2-2	mT19_12-4-3-1	mT19_12-4-3-2	mT19_6-15-1-1	mT19_6-15-1-2	mT19_6-15-2-1	mT19_6-15-2-2	mT19_6-15-3-1	mT19_6-15-3-2	mT19_7-23-1-1	mT19_7-23-1-2	mT19_7-23-2-1	mT19_7-23-2-2	mT19_7-23-3-1	mT19_7-23-3-2	mT19_9-10-1-1	mT19_9-10-1-2	mT19_9-10-2-1	mT19_9-10-2-2	mT19_9-10-3-1	mT19_9-10-3-2	mT19_9-29-1-1	mT19_9-29-1-2	mT19_9-29-2-1	mT19_9-29-2-2	mT19_9-29-3-1	mT19_9-29-3-2
O53_1398_proC	27.33	28.12	47.37	31.97	36.79	35.44	39.61	42.49	30.40	31.62	28.89	28.04	39.21	34.19	41.99	72.65	61.46	92.90	33.50	61.50	30.74	23.01	31.46	22.06	23.28	23.99	24.23	29.17	24.75	34.24	20.95	20.06	31.85	20.90	31.83	26.28
O53_3166_O53_3166	295.37	207.33	161.74	133.40	255.36	194.54	446.23	375.16	246.88	217.78	152.58	174.50	179.66	64.27	74.73	79.83	92.39	144.11	119.00	90.56	80.82	134.54	197.29	175.11	250.34	221.27	141.95	157.13	358.63	210.41	239.00	266.36	165.62	210.42	112.95	167.86
O53_2596_O53_2596	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_4186_O53_4186	481.54	520.29	419.56	317.91	700.44	422.67	155.36	166.49	106.12	122.64	117.14	153.60	547.04	163.38	282.08	918.39	819.97	582.25	403.12	504.43	485.29	687.48	732.50	827.86	640.12	621.26	491.84	659.46	688.69	510.19	284.79	300.26	621.37	527.50	595.37	709.46
O53_4995_O53_4995	28.39	33.53	30.30	38.17	46.72	55.37	66.84	57.03	103.65	28.99	71.68	67.45	97.44	75.74	110.97	58.75	69.05	67.90	26.60	38.43	35.62	39.14	25.97	28.58	14.69	12.23	23.40	37.89	15.49	15.15	0.00	0.00	29.15	15.69	53.22	47.96
O53_3301_O53_3301	0.00	1.84	3.30	5.06	0.00	0.00	7.38	4.36	3.62	0.98	1.84	0.42	0.49	0.87	2.91	0.00	0.00	2.59	3.76	11.81	0.00	1.37	2.51	13.83	7.64	5.49	1.13	4.29	29.63	31.72	9.98	21.56	28.51	28.40	7.16	4.54
O53_302_O53_302	0.00	33.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.59	0.00
O53_487_O53_487	1.87	2.10	1.69	2.01	2.62	2.95	3.48	4.08	4.07	3.14	4.80	4.49	5.17	12.26	12.64	3.97	2.23	2.78	3.42	6.60	1.45	3.57	2.42	2.36	1.60	2.43	1.86	1.71	2.49	2.09	1.10	2.67	4.85	2.54	3.50	2.38
O53_2988_insI	42.90	47.30	0.00	44.20	25.31	17.64	45.01	53.09	30.41	49.94	42.25	39.24	64.10	0.00	0.00	32.11	4.60	26.62	41.32	12.10	44.80	46.54	59.16	21.16	35.21	51.38	28.78	32.21	60.40	45.03	90.85	38.42	22.85	42.87	17.91	22.37
O53_3987_O53_3987	16.98	12.97	10.86	13.70	17.47	19.43	13.11	10.68	20.14	7.29	21.33	18.61	27.66	29.00	48.44	15.57	8.41	21.64	8.75	1.90	4.36	6.03	4.30	2.98	1.25	1.00	1.72	1.70	0.90	1.39	0.00	0.19	1.31	1.26	4.75	4.31
