geneID	Acir.mT19_11-3-1-1	Acir.mT19_11-3-1-2	Acir.mT19_11-3-2-1	Acir.mT19_11-3-2-2	Acir.mT19_11-3-3-1	Acir.mT19_11-3-3-2	Acir.mT19_12-4-1-1	Acir.mT19_12-4-1-2	Acir.mT19_12-4-2-1	Acir.mT19_12-4-2-2	Acir.mT19_12-4-3-1	Acir.mT19_12-4-3-2	Acir.mT19_6-15-1-1	Acir.mT19_6-15-1-2	Acir.mT19_6-15-2-1	Acir.mT19_6-15-2-2	Acir.mT19_6-15-3-1	Acir.mT19_6-15-3-2	Acir.mT19_7-23-1-1	Acir.mT19_7-23-1-2	Acir.mT19_7-23-2-1	Acir.mT19_7-23-2-2	Acir.mT19_7-23-3-1	Acir.mT19_7-23-3-2	Acir.mT19_9-10-1-1	Acir.mT19_9-10-1-2	Acir.mT19_9-10-2-1	Acir.mT19_9-10-2-2	Acir.mT19_9-10-3-1	Acir.mT19_9-10-3-2	Acir.mT19_9-29-1-1	Acir.mT19_9-29-1-2	Acir.mT19_9-29-2-1	Acir.mT19_9-29-2-2	Acir.mT19_9-29-3-1	Acir.mT19_9-29-3-2
ACIR310F_RS0103345_ACIR310F_RS0103345	607.00	0.00	0.00	143.72	5.34	0.00	0.00	0.00	7.40	7.70	15.44	23.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.53	25.27	0.00	40.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0106265_ACIR310F_RS0106265	0.00	0.00	0.00	0.00	12.26	43.31	0.00	0.00	25.45	19.84	12.10	28.88	0.00	0.00	0.00	0.00	0.00	55.35	0.00	0.00	6.60	25.34	29.13	0.00	7.71	16.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0104260_ACIR310F_RS0104260	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.38	14.78	3.07	0.00	0.00	0.00	0.00	0.00	0.00	91.31	0.00	0.00	7.33	0.00	0.00	28.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0100660_ACIR310F_RS0100660	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.88	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0101500_ACIR310F_RS0101500	2400.71	0.00	3952.44	844.85	1518.92	1445.69	2032.68	0.00	2008.21	2105.39	1952.56	2076.45	0.00	0.00	0.00	0.00	0.00	1222.11	4437.34	4176.28	1424.07	1307.87	1567.20	1619.89	2707.03	3228.91	0.00	3869.99	1477.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0107095_ACIR310F_RS0107095	967.02	436.18	779.37	1158.46	498.52	589.75	0.00	179.74	1157.01	899.91	861.45	699.87	324.58	0.00	0.00	256.17	0.00	387.61	1573.87	0.00	433.52	298.42	513.41	511.58	950.98	827.32	636.93	1885.52	0.00	0.00	0.00	0.00	0.00	769.65	0.00	0.00
ACIR310F_RS0105375_ACIR310F_RS0105375	0.00	0.00	0.00	0.00	28.90	24.64	0.00	0.00	13.40	20.95	40.44	28.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.76	14.62	45.29	88.40	48.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS21450_ACIR310F_RS21450	0.00	0.00	0.00	0.00	0.00	8.48	0.00	0.00	9.15	19.04	16.22	8.52	74.59	0.00	0.00	0.00	892.61	0.00	0.00	0.00	192.35	278.64	90.47	13.61	110.93	162.76	0.00	237.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0119105_ACIR310F_RS0119105	0.00	0.00	0.00	0.00	14.72	9.38	0.00	0.00	30.81	42.93	3.85	23.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41.36	0.00	0.00	37.32	39.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0116660_ACIR310F_RS0116660	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41.16	0.00	0.00	0.00	0.00	197.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0115055_cas7d	246.12	0.00	0.00	0.00	19.52	108.42	0.00	0.00	85.77	4.70	82.07	85.92	110.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.07	7.07	40.99	0.00	16.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0109755_ACIR310F_RS0109755	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.03	10.29	1.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.46	4.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS22520_ACIR310F_RS22520	0.00	0.00	192.14	183.27	75.80	57.38	0.00	0.00	187.29	233.58	312.10	273.24	275.24	0.00	0.00	0.00	614.32	137.05	22.46	316.83	153.04	99.57	124.41	134.36	156.67	149.98	0.00	0.00	0.00	821.60	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS23955_ACIR310F_RS23955	0.00	0.00	0.00	0.00	111.78	76.97	0.00	0.00	29.21	0.00	10.63	10.33	0.00	0.00	0.00	0.00	0.00	129.67	1536.99	460.67	214.96	276.06	237.74	236.15	0.00	216.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0109060_ACIR310F_RS0109060	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.12	0.00	0.00	0.00	0.00	0.00	0.00	194.24	821.25	0.00	438.23	262.62	54.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0116715_ACIR310F_RS0116715	0.00	0.00	145.95	0.00	56.79	65.54	0.00	0.00	86.62	122.93	74.64	106.42	96.16	0.00	0.00	0.00	0.00	358.88	0.00	0.00	875.27	904.45	134.34	87.55	229.07	239.99	0.00	152.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0107615_def	0.00	1044.65	0.00	103.61	15.76	180.69	0.00	0.00	66.02	184.07	119.54	187.10	0.00	0.00	0.00	3031.48	0.00	181.23	0.00	0.00	23.15	57.87	195.59	0.00	159.91	125.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS25645_ACIR310F_RS25645	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0112790_ACIR310F_RS0112790	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0106700_ACIR310F_RS0106700	721.09	0.00	0.00	0.00	0.00	12.26	0.00	0.00	6.66	6.94	7.54	23.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.36	14.54	15.02	0.00	48.43	25.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0119460_ACIR310F_RS0119460	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0120165_fabG	0.00	0.00	0.00	137.88	186.51	172.19	0.00	0.00	50.45	135.29	144.01	135.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	81.69	89.80	145.94	126.58	235.76	246.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0112455_ACIR310F_RS0112455	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0115655_ACIR310F_RS0115655	0.00	0.00	0.00	0.00	23.14	0.00	0.00	0.00	0.00	0.00	12.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.90	7.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0107910_ACIR310F_RS0107910	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0108985_ACIR310F_RS0108985	0.00	0.00	0.00	0.00	0.00	13.70	0.00	0.00	0.00	0.00	1.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.23	12.39	22.44	0.00	0.00	18.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0117515_queD	0.00	0.00	0.00	0.00	106.13	67.14	0.00	0.00	392.01	137.30	262.39	252.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	98.34	62.66	121.40	0.00	338.74	282.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0111290_ACIR310F_RS0111290	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS21940_ACIR310F_RS21940	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0120280_ACIR310F_RS0120280	0.00	0.00	0.00	0.00	30.38	103.57	1134.44	0.00	98.59	73.44	87.64	102.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.28	70.22	47.56	0.00	0.00	133.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1189.20	0.00	0.00
ACIR310F_RS22970_ACIR310F_RS22970	0.00	0.00	0.00	0.00	7.02	0.00	0.00	0.00	0.00	0.00	0.00	5.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0109510_ACIR310F_RS0109510	0.00	0.00	0.00	0.00	130.99	250.73	0.00	0.00	73.03	171.59	185.26	312.75	0.00	0.00	0.00	0.00	0.00	91.24	0.00	0.00	49.32	39.67	142.86	39.79	165.87	138.78	0.00	343.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0101790_ACIR310F_RS0101790	0.00	0.00	56.44	0.00	88.25	101.63	0.00	490.61	147.15	89.46	83.37	128.03	149.29	0.00	15.20	0.00	0.00	145.62	215.82	0.00	60.99	111.00	69.22	162.21	44.58	140.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0109735_trpD	0.00	0.00	0.00	0.00	19.52	0.00	209.95	0.00	58.68	56.40	39.32	21.48	0.00	0.00	0.00	0.00	0.00	92.83	0.00	0.00	51.55	25.44	92.24	0.00	49.24	17.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0103980_ACIR310F_RS0103980	0.00	0.00	0.00	456.69	29.38	6.26	0.00	0.00	13.62	0.00	12.84	24.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.36	36.08	0.00	29.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0113755_ACIR310F_RS0113755	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0120225_ACIR310F_RS0120225	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
