"","mT19_11.3.1","mT19_11.3.2","mT19_11.3.3","mT19_12.4.1","mT19_12.4.2","mT19_12.4.3","mT19_6.15.1","mT19_6.15.2","mT19_6.15.3","mT19_7.23.1","mT19_7.23.2","mT19_7.23.3","mT19_9.10.1","mT19_9.10.2","mT19_9.10.3","mT19_9.29.1","mT19_9.29.2","mT19_9.29.3"
"O53_584_O53_584",35.32,21.22,29.22,61.5,26.81,35.96,91.66,124.58,24.19,37.21,21.61,24.63,47.71,29.72,57.38,29.48,53.44,48.94
"O53_2285_murA",380.69,350.07,376.47,221.43,208.28,215.95,283.65,315.09,495.53,331.26,358.61,340.94,413.27,356.03,315.93,320.95,302.37,308.59
"O53_1070_O53_1070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1666_O53_1666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_190_petE",1908.07,2513.79,2791.05,4259.79,2920.76,3003.75,4656.3,4447.48,4721.09,2093.6,1984.83,2056.71,2896.81,2358.89,3878.18,2837.31,3860.92,4127.53
"O53_3967_O53_3967",3289.81,2060.9,2025.74,2365.11,1635.43,905.65,1155.98,856.72,438.34,692.11,840.79,1206.82,2128.85,1468.3,1338.29,1115.1,1239.46,696.59
"O53_1840_O53_1840",82.95,77.68,112.39,118.85,118.03,137.72,88.66,157.07,214.26,76.88,80.27,113.25,75.7,76.24,100.05,79.21,85.42,125.71
"O53_1088_O53_1088",5.65,1.37,3.98,4.61,2.92,3.81,5.17,4.84,5,3.46,1.87,3.61,3,3.77,2.51,2.71,1.58,2.75
"O53_1550_prmA",134.34,118.74,182.21,93.31,70.56,67.85,134.16,177.07,133.02,185.26,125.56,197.26,196.93,158.15,179.87,127.69,181.03,228.74
"O53_4525_O53_4525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3458_O53_3458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_921_O53_921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4710_O53_4710",10,5.47,8.73,6.01,6.57,6.75,12.39,16.74,11.09,2.94,3.45,4.92,6.86,2.02,8.27,4.56,4.17,6.08
"O53_2436_cbiM",123.93,172.17,390.69,368.4,299.72,391.7,41.55,195.12,898.69,38.72,90.66,206.77,66.33,157.81,159.76,97.63,151.19,699.01
"O53_3478_O53_3478",416.24,283.41,381.56,296.57,337.56,302.92,245.07,210.24,223.95,105.75,115.4,99.36,165.57,132.54,154.89,160.7,157.79,90.58
"O53_108_O53_108",5.66,0.34,5.89,7.08,5.7,5.96,8.7,5.92,7.67,0,0.42,0.75,3.22,2.02,5.08,4.14,2,1.92
"O53_3577_O53_3577",199.29,54,52.63,341.75,313.21,419.27,35.39,24.34,34.54,20.21,38.65,33.62,39.93,51.05,71.83,51.66,31.56,19.79
"O53_3481_O53_3481",319.04,226.5,324.61,393.18,308.23,242.46,383.21,435.24,485.53,328.5,230.9,264.79,286.84,271.92,328.3,262.84,176.44,345.7
"O53_5202_O53_5202",185.81,191.24,187.28,233.32,168.92,166.3,330.66,247.27,395.37,185.32,212.79,212.64,228.63,142.65,286.82,221.69,207.71,180.21
"O53_4350_ctr1",40.69,45.62,62.85,70.09,53.96,59.71,73.69,85.04,83.9,35.05,39.02,43.82,35.74,42.57,48.29,43.59,59.5,74.79
"O53_1713_O53_1713",2.03,0,0.32,3.34,0,1.66,2.69,4.44,5.94,0,0,0.57,2.46,1.06,1.56,0,0.29,3.59
"O53_1571_oppC",103.99,88.01,97.81,175.67,135.72,120.71,88.09,92.08,93.93,92.1,63.2,89.65,100.2,72.01,66.37,72.79,66.67,74.65
"O53_2530_O53_2530",25.1,9.11,23.84,52.17,33.59,36.94,38.51,44.13,13.6,17.59,7.32,16.51,21.46,8.53,26.15,8.07,17.36,13.43
"O53_3614_O53_3614",4.39,30.04,50.77,16.7,0,9.28,7.35,0,0,0,0,0,6.19,0,15.54,0,0,0
"O53_373_O53_373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3834_O53_3834",3.1,0.77,0,0,0.78,0.84,0,0,0,3.2,0,0.44,3.16,1.06,0.61,1.17,2.98,2.33
"O53_641_O53_641",269.69,156.15,172.21,532.68,285.47,572.4,252.97,149.07,119.27,171.28,120.69,109.07,150.67,181.18,177.97,218.59,128.24,149.39
"O53_4708_O53_4708",372.15,0,157.59,32.73,80.64,283.75,184,89.24,315.46,0,250.92,225.39,0,0,104.18,0,213.71,0
"O53_1413_O53_1413",17.59,20.22,40.03,37.12,26.78,46.03,87.72,98.41,50.22,24.31,24.18,28.28,16.57,22.79,14.54,21.82,39.93,48.07
"O53_730_O53_730",0,0,2.35,4.8,5.37,0,1.53,11.01,8.38,0,4.93,7.71,0,3.64,6.36,0,5.1,6.46
"O53_415_cdd",20.42,17.79,29.72,30.35,31.29,34.57,46.39,48.78,103.29,11.16,32.14,34.26,22.31,17.79,29.08,24.48,30.46,54.36
"O53_371_O53_371",2.73,5.63,8.07,11.95,10.05,16.3,11.89,18.9,12.17,0.96,1.72,3.79,1.15,3.63,2.41,0.42,2.95,8.35
"O53_216_O53_216",30.36,33.47,48.66,55.19,43.95,56.84,51.02,47.37,68.77,33.7,32.16,30.46,38.08,31.21,46.38,50.45,36.15,51.94
"O53_2437_O53_2437",742.47,503.7,498.86,534.89,766.88,1180.26,602.63,307.26,319.96,886.01,716.21,530.55,879.31,842.36,885.45,481.88,814.83,693.23
"O53_3504_O53_3504",15.54,8.75,15.39,18.71,12.04,11.96,14.54,16.17,13.33,8.72,6.26,12.11,13.4,8.53,10.04,7.17,5.52,10.64
"O53_1670_prlC",97.57,90.55,120.17,70.43,54.44,62.07,157.74,166.67,80.95,86.3,93.7,92.86,125.87,124.67,127.39,143.19,121.18,105.69
"O53_2958_O53_2958",665.25,209.83,388.86,280.2,292.27,541.67,490.25,493.32,327.76,317.87,447.51,420.28,259.13,461.16,601.1,437.77,428.22,714.99
"O53_5365_O53_5365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1131_O53_1131",6.79,3.41,6.81,7.03,6.66,7.56,15.41,24.57,8.81,5.56,5.18,7.57,10,7,8.98,3.65,3.86,9.17
"O53_3827_serS",48.96,40.54,48.97,39.9,35.12,29.23,70.21,66.36,19.88,60.76,41.45,64.09,79.47,63.09,47.26,54.42,43.83,37.18
"O53_597_O53_597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2957_O53_2957",22.52,16.56,27.03,38.56,40.57,58.18,37.35,38.56,20.1,6.83,13.61,12.72,12.03,13.15,13.54,9.36,8.01,21.54
"O53_1170_O53_1170",7.92,12.83,18.86,23.28,29.47,34.57,41.44,56.51,50.32,52.74,37.09,51.17,57.94,53.15,61.31,30.69,27.39,29.02
"O53_4318_ureE",86.01,53.8,142.61,76.58,70.65,105.03,110.55,250.95,239.79,64.33,83.05,67.65,69.66,88.38,101.19,36.48,155.22,225.95
"O53_2700_O53_2700",1.07,0.38,2.7,2.59,1.53,3.9,3.01,6.06,2.87,2.19,1.65,1.22,2.09,0.74,0.13,0.22,0.13,3.01
"O53_2327_O53_2327",72.08,83.07,85.33,133.76,79.07,86.51,86.47,134.95,101.71,81.12,70.26,78.31,102.85,90.19,84.34,128.19,116.69,127.01
"O53_717_O53_717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3780_O53_3780",1.08,6.3,0,0.83,0,0,1.61,0,0,4.26,0,12.12,17.2,0,27.6,1.34,0,0
"O53_2625_yccW",252.97,204.19,204.18,443.94,335.46,308.2,93.84,92.82,73.75,100.05,68.15,86.73,151.39,105.32,88.68,105.68,86.33,77.55
"O53_417_O53_417",10.99,17.02,11.06,34.75,29.8,19.96,14.51,35.58,27.04,3.27,3.92,5.56,11.94,15.41,9.13,9.42,10.58,32.12
"O53_3541_O53_3541",7.34,10.7,14.45,28.41,25.84,33.28,43.39,48.47,45,21.21,35.72,27.46,10.82,17.83,7.73,0,5.79,28.7
"O53_2486_O53_2486",555.45,1022.99,2511.18,1648.82,1350.19,1408.67,647.54,869.94,2150.51,162.07,232.77,447.93,431.21,222.91,487.16,184.48,559.67,1885.73
"O53_3335_O53_3335",0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,3.63
"O53_3139_fmt",61.46,57.53,76.8,75.84,59.06,86.45,113.1,132.1,82.76,76.82,61.59,74.74,91.59,101.38,90.38,103.44,83.35,105.26
"O53_4956_O53_4956",71.97,72.56,79.14,108.97,79.07,73.89,59.26,68.95,53.92,53.81,32.43,37.52,40.04,41.66,35.31,43.4,42.62,58.06
"O53_4455_O53_4455",20.72,70.03,92.35,44.19,57.1,57.19,143.95,186.41,148.91,76.03,73.04,89.18,35.76,47.8,69.46,31.8,95.42,126.04
"O53_3939_cbiD",27.21,17.88,28.37,20.62,15.28,16.54,29.58,27.02,17.02,19.9,16.45,26.39,33.34,22.86,40.02,29.98,27.82,25.98
"O53_4261_O53_4261",27.38,29.26,25.71,18.7,23.85,31.14,37.97,39.74,20.29,37.68,15.32,27.96,44.86,28.97,50.1,17.6,16.65,49.36
"O53_1971_O53_1971",14.12,12.55,15.74,9.57,11.72,10.53,23.73,42.06,28.84,57.37,61.47,97.19,108.93,90.14,93.64,29.36,39.64,74.74
"O53_1559_O53_1559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3338_O53_3338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_5399_O53_5399",3.46,0,2.93,7.5,1.21,4.51,10.65,10.06,3.77,0,0.91,3.16,6.84,0,2.34,6.02,0.84,0
"O53_4836_gnd",279.98,438.12,1080.03,636.15,608.62,804.02,272.69,663.59,3565.37,122.88,227.72,404.93,185.53,348.8,518.12,133.67,371.76,2157.17
"O53_5101_O53_5101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1554_fd1",404.55,448.67,594.03,517.45,667.95,683.93,1132.64,1101.21,2576.91,858.84,702.77,796.05,520,376.17,922.82,453.24,577.94,1208.99
"O53_4716_O53_4716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4553_O53_4553",76.64,94.94,158.29,141.07,162.41,148.57,167.59,200.16,203.34,87.86,83.76,84.24,70.93,103.94,71.09,55.13,82.43,157.43
"O53_2513_yfdH",41.78,24.53,33.18,37.66,21.82,30.17,31.92,22.87,24.55,21.28,9.35,19.4,20.37,12.89,27.4,13.68,16.14,14.4
"O53_232_insI-3",0,0,0,0,0,0,1.29,0.2,0,0,0,0,0,0,0,0,0,0
"O53_5299_O53_5299",123.53,96.95,104.75,322.54,110.15,97.19,119.56,78.34,119.65,81.32,71.38,107.51,106.21,60.89,131.64,93.62,66.41,60.08
"O53_3373_O53_3373",48.46,28.43,32.32,37.91,23.08,22.39,37.82,19.63,13.59,27.78,10.04,20.37,34.51,27.73,15.44,29.78,14.77,15.52
"O53_4021_O53_4021",34.89,38.96,63.99,190.15,22.69,23.83,63.55,78.41,109.45,21.5,20.76,32.98,11.94,23.66,29.08,20.08,29.46,100.08
"O53_5369_O53_5369",9.03,6.13,9.55,13.81,4.64,6.84,10.84,9.14,5.93,5.34,5.5,11.41,12.81,10.38,10.86,4.82,3.94,4.65
"O53_318_cmdD",10.05,11.82,30.51,14.8,20.71,20.88,45.14,34.88,43.01,28.89,8.74,12.74,6.13,5.76,6.25,0.24,7.35,22.06
"O53_4551_O53_4551",0,66.72,33.54,0,0,168.3,47.3,0,130.17,0,163,0,0,0,0,0,0,41.49
"O53_3861_O53_3861",0,0,0,0,0,0,4.75,4.09,0,0,0,0,0,0,4.25,0,0,0
"O53_181_O53_181",42.52,38.24,43.78,60.03,36.18,54.05,66.77,106.41,144.69,24.91,31.79,38.76,31.49,22.87,35.21,10.87,18.89,17.72
"O53_3276_O53_3276",27.35,19.53,29.32,30.44,20.79,28.46,38.38,48.83,23.09,13.5,17.5,25.24,20.84,17.87,27.07,10.39,14.94,23.07
"O53_5214_O53_5214",21.27,25.4,25.67,60.66,33.13,25.3,43.37,40.81,57.98,21.25,23.77,29.7,23.82,16.83,27.8,30.53,29.05,39.27
"O53_4781_O53_4781",97.76,81.89,49.35,54.47,69.22,75.09,68.81,51.24,95.01,32.25,21.49,44.23,38.8,35.93,48.88,32.06,30.44,34.48
"O53_3529_O53_3529",273.5,382.68,473.98,774.72,527.82,533.19,286.2,337.73,551.27,240.89,226.33,249.09,247.2,246.32,227.53,239.45,284.57,490.59
"O53_5262_O53_5262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4008_O53_4008",8.66,4.11,9.26,2.75,2.27,1.69,3.38,5.04,4.9,0,0.79,0,4.46,1.99,1.71,0.81,0.92,0.11
"O53_4304_O53_4304",2.25,7.14,21.78,5.13,9.81,12.54,76.91,70.7,135.89,7.04,13.23,14.07,4.64,5.02,22.61,0.16,10.66,64.94
"O53_4175_gvpJ",3351.65,2484.91,3820.48,1845.08,628.71,725.39,3068.19,2463.78,1248.92,2401,3097.03,3217.6,6892.3,4871.39,3600.89,2849.25,3814.11,2383.75
"O53_3251_O53_3251",2.12,0.81,3.53,2.56,2.73,4.65,0.79,7.75,4.04,1.9,4.23,4.8,12.67,1.63,3.52,1.17,2.99,7.42
"O53_1362_cobA",42.4,35.77,46.84,89.15,59.06,70.21,58.19,78.8,78.23,68.17,42.76,50.76,77.41,56.26,55.19,47.38,35.15,61.73
"O53_3936_O53_3936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3871_rsu1",291.21,258.78,335.28,239.44,189.36,212.64,180.29,227.81,249.61,221.66,157.21,261.91,296.54,279.93,368.8,348.43,258.17,255.04
"O53_1361_O53_1361",68.62,67.06,87.07,83.8,79.42,79.21,109.35,133.61,134.8,63.66,59.88,68.09,79.83,69.27,101.16,52.49,77.95,80.25
"O53_630_O53_630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_932_O53_932",80.68,150.51,161.59,175.69,229.15,470.85,95.66,153.97,217.47,86.95,64.19,36.35,69.12,48.41,143.8,72.6,70.94,248.27
"O53_1393_O53_1393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2374_O53_2374",264.88,138.84,141.95,254.95,125.17,62.98,123.05,79.4,52.49,116.58,236.92,142.72,196.19,133.61,226.03,231.56,227.38,65.61
"O53_934_O53_934",1.54,0.99,2.55,1.51,1.52,2.27,4.1,6.56,3.05,2,2.11,1.5,0.5,0.52,0.42,0,0.3,2.13
"O53_5061_O53_5061",0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0
"O53_533_O53_533",157.46,177.5,186.85,367.9,277.93,244.31,149.22,259.54,342.39,157.75,136.47,212.64,226.54,211.6,220.54,246.29,233.56,218.1
"O53_4061_O53_4061",48.48,30.43,20.52,45.42,23.65,51.35,48.65,15.76,30.57,8.71,52.51,24.5,37.77,23.97,26.2,0,14.78,54.16
"O53_2543_phb",23.49,18.31,24.34,37.83,36.16,32.17,48.73,47.19,24.94,22.25,17.76,21.06,22.22,18.04,17.86,13.99,9.67,16.69
"O53_1615_dpm1-1",126.71,72.52,65.05,65.56,52.67,50.3,50.83,47.57,51.17,54.14,39.21,39.95,92.71,62.12,77.7,81.35,41.28,37.71
"O53_3859_O53_3859",160.75,95.28,173.14,409.92,240.45,252.42,175.63,130.27,210.25,73.78,98.95,111.95,129.82,104.35,175.35,129.02,101.05,101.85
"O53_198_O53_198",498.09,189.05,300.8,171.43,76.6,85.45,309.58,357.37,238.96,157.71,288.7,277.9,333.34,303.57,415.55,354.31,278.97,260.52
"O53_2353_pfkA-2",31.84,58.72,99.7,173.8,122.69,164.16,20.54,46.16,122.89,25.2,34.29,60.55,65.01,55.47,50.39,26.22,42.43,124.66
"O53_2273_gvpN",5251.42,4904.25,7130.99,3320.76,1679.9,2215.68,4341.84,5467.65,4492.01,3701.7,3734.45,4558.2,8147.96,6255.26,4382.21,4477.99,5233.86,5393.36
"O53_713_leuB",252.39,255.84,286.82,555.55,366.11,370.52,391.88,488.48,333.3,598.01,581.55,620.77,748.2,630.06,458.44,513.31,493.75,599.34
"O53_3120_O53_3120",0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1319_O53_1319",26.25,8.57,12.13,2.6,3.02,1.5,8.76,12.72,5.49,6.67,6.32,8.63,20.51,12.75,16.93,7.86,7.34,2.22
"O53_3657_O53_3657",23.96,19.74,28.99,25.98,18.29,29.95,30.5,40.9,23.91,19.5,11.92,17.12,18.45,16.54,26.7,11.99,17.67,20.29
"O53_219_ndhD-4",353.14,290.19,273.28,99.12,71.58,137.2,290.06,245.97,125.36,289.5,258.08,220.06,269.82,189.39,154.18,259.78,209.98,212.03
"O53_619_trpA",81.65,110.18,87.53,82.72,65.52,55.92,121.15,125.19,68.13,102.46,73.92,69.25,78.16,90.8,64.78,72.39,72.86,101.12
"O53_496_O53_496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4226_O53_4226",0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0
"O53_2943_O53_2943",377.61,402.52,544.25,756.89,852.29,899.47,1438.05,1790.55,412.79,844.18,506.23,508.26,421.78,477.04,437.17,391.59,423.95,811.29
"O53_2615_O53_2615",7.2,9.02,21.86,23.67,23.27,29.17,31.04,59.17,38.67,27.37,16.61,24.75,28.5,19.68,23.65,5.53,11.44,43.95
"O53_2821_O53_2821",26.19,147.12,130.33,414.81,489.48,532.31,217.69,367.35,645.3,107.09,126.73,85.02,11.04,88.09,57.23,10.02,121.19,369.6
"O53_4677_yidC",398.59,436.42,538.1,427.24,504.47,725.52,780.62,855.74,654.27,568.62,489.83,436.16,473.74,486.12,410.32,387.84,497.29,890.96
"O53_2633_O53_2633",10.95,0,12.7,0,0,2.75,0,0,0,0,0,0,0,0,13.1,0,0,0
"O53_2801_O53_2801",0.44,0.43,0.61,0.73,0.3,0.25,1.69,3.86,0.81,0,0.11,0,0.78,0,0.59,0.32,0.52,0.11
"O53_5233_O53_5233",7.42,3.22,0.81,3.08,4.4,5.47,14.38,12.55,0,16.34,28.28,25.56,44.81,6.43,51.6,36.83,17,18.81
"O53_2854_O53_2854",2.17,0.82,1.71,7.9,4.26,4.82,4.07,4.43,3.18,1.93,1.8,1.97,0.94,1.16,1.44,0.63,0.83,1.23
"O53_4920_O53_4920",12.96,8.06,6.71,2.28,3.17,4.32,5.94,5.54,0,0.33,0.37,1.44,1.54,9.96,7.65,0.5,0.77,5.71
"O53_151_O53_151",1100.54,638.56,474.82,1097.44,917.9,420.5,466.34,249.52,186.16,630.33,464.62,609.61,883.56,798.38,561.03,1121.73,512.27,277.73
"O53_1299_O53_1299",6.62,16.43,31.59,22.3,30.92,71.85,95.46,114.54,47.82,30.5,23.54,12.76,7.83,17.52,17,0,21.65,64
"O53_359_O53_359",1.35,0,6.12,1.97,9.75,13.68,29.5,26.16,22,8.65,5.12,3.19,4.5,11.24,0.44,0,6.16,22.05
"O53_2028_O53_2028",28.58,14.2,24.58,20.79,14.32,33,23.12,31.25,17.64,10.38,7.19,7.74,19.11,13.83,16.58,6.67,6.27,13.62
"O53_815_O53_815",3721.95,3785.17,2773.21,5092.18,5087.53,4320.02,2368.41,1781.19,4229.81,3352.46,2487.56,2115.2,2397.06,2064.79,3020.85,3771.72,2962.05,2647.79
"O53_1405_O53_1405",4.2,12.14,8.9,4.7,13.86,5.64,55.4,46.95,37.64,18,6.11,4.39,4,6.63,9.08,0,5.9,19.8
"O53_2960_mviN",80.01,64.02,70.63,125.41,57.58,44.21,62.28,71.38,56.69,80.72,56.59,70.42,86.45,71.87,64.65,65.4,51.33,58.91
"O53_557_O53_557",14.02,10.77,13.2,16.97,19.67,19.06,15.62,13.89,8.01,15.51,13.14,27.14,21.75,17.02,53.64,15.59,22.42,13.51
"O53_3239_O53_3239",87.88,109.68,119.4,76.61,118.61,251.24,146.73,95.61,50.28,0,0,0,0,0,82.97,0,35.38,348.82
"O53_3080_O53_3080",0.12,0.8,0.54,0,0,0.55,0.58,0.92,0.3,0.67,1.5,0.97,2.92,1.57,0.37,0,0.42,1.2
"O53_1730_O53_1730",424.79,216.6,294.96,407.86,318.66,482.77,422.33,405.77,237.49,169.47,151.05,247.49,301.46,245.32,291.83,330.03,258.54,278.58
"O53_4612_O53_4612",47.33,41.9,49.59,85.54,50.48,47.74,67.44,77.13,48.12,49.75,36.35,48.65,70.19,50.61,47.35,60.02,45.94,55.37
"O53_2351_O53_2351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1035_argS",57.09,51.73,65.83,61.37,40.16,51.08,57.38,51.5,34.51,35.56,25.13,28.05,43.06,31.66,35.81,29.86,22.23,32.41
"O53_3897_O53_3897",12.06,0,3.34,7.13,6.54,7.9,46.62,50.73,9.84,14.13,3.13,13.56,28.15,14.29,16.11,0,9.65,4.71
"O53_4002_O53_4002",2.27,3.85,3.89,8.49,3.61,3.09,4.49,6.37,6.44,6.03,9.64,10.57,7.93,8.04,6.8,3.69,3.08,4.94
"O53_1489_O53_1489",72.93,36.35,35.17,73.82,58.89,53.68,81.81,67.28,72.18,61.74,123.89,92.7,108.96,85.75,181.51,98.91,112.42,103.06
"O53_5294_tuf",1879.97,1882.49,1831.9,1164.75,461.54,679.58,1850.46,1956.05,778.41,1909,1952.95,2049.83,3032.25,2496.88,1770.44,2406.03,2072.31,1499.54
"O53_2726_O53_2726",6.37,1.29,3.02,3.25,1.37,2.16,6.45,6.16,2.5,1.04,1.96,2.61,3.59,3.66,2.77,2.09,1.44,0.84
"O53_3736_rplJ",2362.08,2467.78,2723.24,1411.5,1019.68,1367.74,2141.69,3569.87,296.04,1886.61,2398.33,1687.31,2994.22,4094.65,840.21,2264.97,2885.76,1758.75
"O53_2588_O53_2588",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4570_O53_4570",76.04,63.12,79.09,44.74,47.34,27.14,92.84,70.47,56.94,54.7,31.48,37.14,44.88,40.14,42.58,57.18,37.3,49.32
"O53_2534_dacB",19.3,11.39,13.29,17.11,8.31,8.16,6.24,7.44,6.46,3.67,2.93,8.67,7.46,6.42,10.92,5.81,3.45,5.25
"O53_5080_O53_5080",50.03,41.01,56.37,88.51,86.74,89.2,154.85,201,64.11,21.46,35.46,36.27,23.97,38.67,30.67,21.72,29.43,59.9
"O53_4721_mtnP",803.37,640.24,590.62,1094.78,684.79,561.46,373,336.7,374.38,375.52,317.34,356.2,511.36,430.07,401.39,563.09,344.08,291.28
"O53_4031_O53_4031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3713_O53_3713",21.73,21.82,30.27,25.13,27.28,43.28,21.41,34.26,18.13,8.01,10.17,14.55,25.96,27.66,23.02,25.3,17.51,20.7
"O53_1792_O53_1792",5.86,8.31,10.37,26.2,16.44,10.43,22.46,25.39,18.46,15.76,13.83,15.18,20.91,16.25,16.4,15.85,8.81,12.67
"O53_1340_accB",94.04,63.25,74.33,25.52,24.06,35.72,47.94,73.15,13.17,42.7,44.5,34.39,51.06,66.41,20.97,43.92,41.83,35.27
"O53_4514_O53_4514",2.24,1.79,2.82,0.58,2.96,1.67,11.85,12.27,4.77,0.44,0.51,5.34,11.67,3.23,2.92,3.45,6.49,3
"O53_1400_O53_1400",26.49,15.54,29.2,40.69,38.41,46.61,30.97,30.11,27.93,11.07,14.43,15.21,15.37,13.76,17.63,11.65,11.89,20.12
"O53_3598_O53_3598",45.92,31.91,47.9,94.59,79.79,73.37,53.74,43.09,60.32,23.46,14.93,28.65,26.81,17.84,30.4,14.01,21.78,41.78
"O53_3540_O53_3540",0,1.65,0.69,0.53,1.96,2.55,6.96,3.71,2.17,0,0,0.63,0,4.51,0,0,1.23,9.79
"O53_1075_O53_1075",9.23,4.96,8.58,2.21,2.52,6.85,25.72,26,6.55,5.05,3.29,3.23,7.34,4.33,8.17,5.92,3.13,5.19
"O53_5019_O53_5019",0.08,0.97,0.59,0.24,0.99,0.59,2.35,2.68,2.3,0,0,0.17,0.12,0,0,0,0.69,0.76
"O53_351_O53_351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4775_O53_4775",33.93,26.73,63.99,3.06,6.13,19.48,18.11,6.92,0,31.55,19.48,3.82,24.4,6.55,0,10.53,48.44,17.76
"O53_2719_O53_2719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2145_O53_2145",9.38,9.43,19.11,24.27,0,22.08,14.82,15.85,31.33,0,18.98,2.18,0,0,6.18,0,0,10.4
"O53_3284_O53_3284",0.59,0.99,1.3,1.13,1.69,1.67,2.26,2.43,1.43,0.17,0.26,0.31,0.28,0.28,0.29,0.1,0.06,0.41
"O53_2556_O53_2556",45.6,41.27,62.21,94.47,78.83,92.66,51.55,81.25,54.41,62.02,57.79,93.67,102.59,73.81,96.81,85.76,79.38,79.45
"O53_5134_thiL",18.82,14.96,24.57,26.05,15.01,30.59,24.94,31.29,18.03,13.02,11.4,17.05,25.92,18.51,19.28,22.92,17.36,27.18
"O53_1542_O53_1542",73.4,0,36.43,25.31,173.81,174.58,87.52,0,0,0,0,0,220.69,0,0,0,0,168.36
"O53_2571_leuD",38.91,35.57,67.32,58.62,61.55,70.35,159.64,155.06,154.16,57.6,35.69,45.9,29.44,34.39,35.64,14.67,31.93,95.27
"O53_3966_dcm",26.67,25.04,47.36,73.38,78.35,118.41,51.38,75.9,47.24,25.62,18.76,25.39,35.58,22.86,31.12,18.96,20.44,60.66
"O53_516_O53_516",190.7,105.77,120.97,16.5,5.93,5.35,66.03,6.9,27.04,55.11,27.71,74.41,181.6,70.03,149.98,255.61,117.12,49.13
"O53_4066_gltX",372.1,313.47,337.22,213.87,139.15,156.45,238.65,211.23,138.82,133.66,120.64,111.88,170.69,139.46,145.72,181.47,124.71,133.06
"O53_1643_O53_1643",16.36,21.67,4.33,14.2,23.03,40.36,36.64,35.2,20.12,0,0,17.97,10.87,31.2,19.65,0,30.97,21.99
"O53_3104_O53_3104",43.76,46.64,50.41,85.17,85.6,84.18,80.88,91.63,129.17,42.74,48.95,53.27,38.27,38.96,68.2,23.18,51.97,76.65
"O53_1980_O53_1980",500.44,319.92,419.62,2077.99,1174.14,519.49,978.37,630.98,886.58,2380.54,1014.65,2731.89,1309.41,873.06,1007.35,787.67,825.54,782.1
"O53_277_O53_277",56.63,45.42,61.03,23.29,19.56,17.52,39.58,47.65,54,46.1,21.92,38.14,35.04,29.44,36.02,24.51,16.57,24.29
"O53_3882_O53_3882",18.72,12.34,16.77,36.55,18.58,18.94,22.49,27.5,18.32,8.4,13.07,16.32,14.92,19.62,23.15,18.75,12.05,24.5
"O53_1256_dapF",219.96,175.22,185.31,286.79,219.5,167.24,260.66,230.55,236.87,175.96,216.67,193.15,250.58,270.73,306.98,343.62,183.87,185.16
"O53_1157_carB",213.89,299.61,512.17,207.76,156.63,216.64,113.8,282.64,935.43,104.29,165.57,315.19,173.98,331.51,314.19,188.2,320.95,787.18
"O53_3208_O53_3208",9.96,4.24,6.36,6.78,3.94,4.74,11.43,10.72,9.49,15.45,1.32,5.1,9.66,4.45,28.96,11.74,6.99,10.36
"O53_4615_O53_4615",0,0,0,0,29.56,10.02,58.3,0,0,0,0,0,0,0,0,0,37.53,0
"O53_3416_O53_3416",2.52,3.01,4.39,6.02,7.24,15.45,8.94,11.68,11.5,4.09,4.76,3.08,4.27,2.62,2.22,0.55,3.5,6.07
